"Brand","Model","Price Details","Availability","Promos / Offers","Review Details","Q&A / FAQ"
"HP","EliteBook Ultra G1i","$2,419.00","","3% back in HP Rewards","",""
"HP","EliteBook 8 Series 14 inch (Intel)","$2,037.00","","3% back in HP Rewards","",""
"HP","ProBook 4 Series 16 inch (Intel)","$2,195.00","","3% back in HP Rewards","",""
"HP","EliteBook 6 Series 13 inch (Intel)","$2,476.00","","3% back in HP Rewards","",""
"HP","EliteBook 6 Series 14 inch (Intel)","$2,461.00","","3% back in HP Rewards","",""
"HP","EliteBook 6 Series 16 inch (Intel)","$2,477.00","","3% back in HP Rewards","",""
"HP","EliteBook 6 Series 14 inch (Qualcomm)","$1,319.00","","3% back in HP Rewards","",""
"HP","EliteBook 6 Series 14 inch (AMD)","$2,108.00","","3% back in HP Rewards","",""
"HP","EliteBook 6 Series 16 inch (AMD)","$2,114.00","","3% back in HP Rewards","",""
"HP","EliteBook 8 Series 13 inch (Intel)","$2,273.00","","3% back in HP Rewards","",""
"HP","EliteBook 8 Series 16 inch (Intel)","$2,065.00","","3% back in HP Rewards","",""
"HP","EliteBook 8 Series 13 inch Flip (Intel)","$2,324.00","","3% back in HP Rewards","",""
"HP","EliteBook 8 Series 13 inch (AMD)","$1,983.00","","3% back in HP Rewards","",""
"HP","EliteBook 8 Series 14 inch – AMD","$1,978.00","","3% back in HP Rewards","",""
"HP","EliteBook 8 Series 16 inch – AMD","$1,998.00","","3% back in HP Rewards","",""
"HP","EliteBook Ultra G1q","$1,999.00","","3% back in HP Rewards","",""
"HP","EliteBook X G1i","$2,399.00","","3% back in HP Rewards","",""
"HP","EliteBook X G1a","$2,509.00","","3% back in HP Rewards","",""
"HP","EliteBook X Flip G1i","$2,689.00","","3% back in HP Rewards","",""
"HP","EliteBook 640","$2,349.00","","3% back in HP Rewards","",""
"HP","EliteBook 645","$2,219.00","","3% back in HP Rewards","",""
"HP","EliteBook 660","$2,359.00","","3% back in HP Rewards","",""
"HP","EliteBook 665","$2,229.00","","3% back in HP Rewards","",""
"HP","EliteBook 830","$2,669.00","","3% back in HP Rewards","",""
"HP","Elite x360 830","$3,179.00","","3% back in HP Rewards","",""
"HP","EliteBook 835","$2,809.00","","3% back in HP Rewards","",""
"HP","EliteBook 840","$2,849.00","","3% back in HP Rewards","",""
"HP","EliteBook 845","$2,859.00","","3% back in HP Rewards","",""
"HP","EliteBook 865","$1,987.00","","3% back in HP Rewards","",""
"HP","Elite x360 1040","$3,515.00","","3% back in HP Rewards","",""
"HP","EliteBook 1040","$2,509.00","","3% back in HP Rewards","",""
"HP","ProBook 4 Series 14 inch (Intel)","$2,184.00","","3% back in HP Rewards","",""
"HP","ProBook 4 Series 14 inch (Qualcomm)","$999.00","","3% back in HP Rewards","",""
"HP","ProBook 4 Series 14 inch (AMD)","$1,818.00","","3% back in HP Rewards","",""
"HP","ProBook 4 Series 16 inch (AMD)","$1,434.00","","3% back in HP Rewards","",""
"HP","ProBook 460","$1,919.00","","3% back in HP Rewards","",""
"HP","ProBook 465","$1,639.00","","3% back in HP Rewards","",""
"HP","ProBook 440","$1,909.00","","3% back in HP Rewards","",""
"HP","ProBook 450","$2,617.00","","3% back in HP Rewards","",""
"HP","ProBook 445","$1,629.00","","3% back in HP Rewards","",""
"HP","Chromebook Clamshell","$272.00","","3% back in HP Rewards","",""
"HP","Chromebook x360","$791.00","","3% back in HP Rewards","",""
"HP","EliteBook 860","$3,119.00","","3% back in HP Rewards","",""
