"Brand","Model","Price Details","Availability","Promos / Offers","Review Details","Q&A / FAQ"
"Lenovo","ThinkPad X1 Carbon Gen 11 (14"" Intel) Laptop","$1,099.00","FREE Standard Delivery: Delivery options for 60654","Earn $32 in Rewards","4.6 out of 5 stars, 2793 reviews.",""
"Lenovo","ThinkPad X1 Carbon Gen 12 (14ʺ Intel) Laptop","$2,199.00","FREE Standard Delivery: Delivery options for 60654","Earn $65 in Rewards","4.5 out of 5 stars, 1389 reviews.",""
"Lenovo","Legion Pro 5i Gen 10 (16″ Intel) Gaming Laptop","$1,249.99","FREE Standard Delivery: Delivery options for 60654","Earn $37 in Rewards","4.7 out of 5 stars, 125 reviews.",""
"Lenovo","ThinkPad P1 Gen 6 (16″ Intel) mobile workstation","$1,189.00","FREE Standard Delivery: Delivery options for 60654","Earn $35 in Rewards","4.2 out of 5 stars, 352 reviews.",""
"Lenovo","ThinkPad X1 Carbon Gen 13 Aura Edition (14ʺ Intel) Laptop","$2,125.00","FREE Standard Delivery: Delivery options for 60654","12 Months of Premier Support for only a PENNY!","4.5 out of 5 stars, 323 reviews.",""
"Lenovo","ThinkPad E14 Gen 7 (14″ Intel) Laptop","$829.00","FREE Standard Delivery: Delivery options for 60654","Earn $24 in Rewards","4.2 out of 5 stars, 14 reviews.",""
"Lenovo","ThinkPad E16 Gen 3 (16″ Intel) Laptop","$839.00","FREE Standard Delivery: Delivery options for 60654","Earn $25 in Rewards","4.1 out of 5 stars, 17 reviews.",""
"Lenovo","ThinkPad P14s Gen 6 (14″ AMD) Mobile Workstation","$1,043.28","FREE Standard Delivery: Delivery options for 60654","Earn $31 in Rewards","4.3 out of 5 stars, 80 reviews.",""
"Lenovo","ThinkPad P1 Gen 7 (16″ Intel) Mobile Workstation","$2,419.00","FREE Standard Delivery: Delivery options for 60654","Earn $72 in Rewards","4.4 out of 5 stars, 463 reviews.",""
"Lenovo","ThinkPad P16s Gen 4 (16″ AMD) Mobile Workstation","$1,209.00","FREE Standard Delivery: Delivery options for 60654","Earn $36 in Rewards","4.7 out of 5 stars, 60 reviews.",""
"Lenovo","Yoga 9i 2-in-1 Aura Edition (14″ Intel) Laptop","$1,439.99","FREE Standard Delivery: Delivery options for 60654","Earn $43 in Rewards","4.6 out of 5 stars, 83 reviews.",""
"Lenovo","ThinkPad X1 Carbon Gen 13 Aura Edition (14ʺ Intel) Laptop","$1,849.00","FREE Standard Delivery: Delivery options for 60654","Earn $55 in Rewards","4.5 out of 5 stars, 44 reviews.",""
"Lenovo","ThinkPad P16 Gen 2 (16"" Intel) Mobile Workstation","$1,579.21","FREE Standard Delivery: Delivery options for 60654","Earn $47 in Rewards","4.4 out of 5 stars, 732 reviews.",""
"Lenovo","ThinkPad E16 Gen 2 (16″ AMD) Laptop","$749.00","FREE Standard Delivery: Delivery options for 60654","Earn $22 in Rewards","4.4 out of 5 stars, 278 reviews.",""
"Lenovo","ThinkPad E14 Gen 5 (14″ Intel) Laptop","$1,019.00","FREE Standard Delivery: Delivery options for 60654","Earn $30 in Rewards","4.5 out of 5 stars, 301 reviews.",""
"Lenovo","Legion 5 Gen 10 (15″ AMD) Gaming Laptop","$1,117.74","FREE Standard Delivery: Delivery options for 60654","Earn $33 in Rewards","4.2 out of 5 stars, 48 reviews.",""
"Lenovo","ThinkBook 16 Gen 7 (16″ AMD) Laptop","$709.00","FREE Standard Delivery: Delivery options for 60654","Earn $21 in Rewards","4.5 out of 5 stars, 239 reviews.",""
"Lenovo","ThinkPad T16 Gen 4 (16″ Intel) Laptop","$1,319.00","FREE Standard Delivery: Delivery options for 60654","Earn $39 in Rewards","5.0 out of 5 stars, 17 reviews.",""
"Lenovo","ThinkPad E16 Gen 3 (16″ AMD) Laptop","$779.00","FREE Standard Delivery: Delivery options for 60654","Earn $23 in Rewards","4.3 out of 5 stars, 9 reviews.",""
"Lenovo","ThinkBook 16 Gen 8 (16″ Intel) Laptop","$689.00","FREE Standard Delivery: Delivery options for 60654","Earn $20 in Rewards","4.4 out of 5 stars, 88 reviews.",""
